No;Pertanyaan;Jawaban;Hasil;Kesimpulan
1;Mau tau jadwal kuliah dong;Informasi mengenai Jadwal Mata Kuliah dan Ruang Kelas dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Mahasiswa</li> </ol>;;
2;Kelas aku dimana ya?;Informasi mengenai Jadwal Mata Kuliah dan Ruang Kelas dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Mahasiswa</li> </ol>;;
3;Maaf, mau tanya jadwal uas dong;Informasi mengenai Ruangan dan Jadwal Ujian Semester dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> </ol>;;
4;UTS kapan sih?;Informasi mengenai Ruangan dan Jadwal Ujian Semester dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> </ol>;;
5;Cetak kartu ujian dimana?;Informasi mengenai Cetak Kartu Ujian dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> <li>Cetak Kartu Ujian (Print)</li> </ol>;;
6;Cara print kartu uas gimana ya?;Informasi mengenai Cetak Kartu Ujian dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> <li>Cetak Kartu Ujian (Print)</li> </ol>;;
7;Udah bisa kuliah offline belum?;Informasi mengenai Kuliah Hybrid dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pelaksanaan-perkuliahan-hybrid-semester-genap-ta-2021-2022/'>Klik tautan ini</a>;;
8;Info kuliah hybrid liat dimana?;Informasi mengenai Kuliah Hybrid dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pelaksanaan-perkuliahan-hybrid-semester-genap-ta-2021-2022/'>Klik tautan ini</a>;;
9;Nilai matkul berapa ya?;Informasi mengenai Nilai Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Nilai atau Lihat Nilai Semester</li> </ol>;;
10;Liat nilai semester ini dimana?;Informasi mengenai Nilai Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Nilai atau Lihat Nilai Semester</li> </ol>;;
11;Registrasi mata kuliah itu kapan ya?;Informasi mengenai Masa Registrasi dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;;
12;Sekarang sudah bisa registrasi matkul?;Informasi mengenai Masa Registrasi dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;;
13;Pengen cuti kuliah;Informasi mengenai Pengajuan Cuti Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pengajuan-cuti-akademik/'>Klik tautan ini</a>;;
14;Cara mengajukan cuti kuliah gimana?;Informasi mengenai Pengajuan Cuti Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pengajuan-cuti-akademik/'>Klik tautan ini</a>;;
15;Mau tau total SKS Matkul;Informasi mengenai SKS Mata Kuliah dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Ekivalensi</li> </ol>;;
16;Lihat sks mata kuliah dimana ya?;Informasi mengenai SKS Mata Kuliah dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Ekivalensi</li> </ol>;;
17;Bagaimana cara mendapatkan beasiswa?;Informasi mengenai Beasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/beasiswa/'>Klik tautan ini</a>;;
18;Apakah ditelkom ada program beasiswa?;Informasi mengenai Beasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/beasiswa/'>Klik tautan ini</a>;;
19;Download kalender akademik dimana?;Informasi mengenai Kalender Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;;
20;Mau liat kalender akademik gimana caranya?;Informasi mengenai Kalender Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;;
21;Gimana cara mengajukan tak?;Informasi mengenai TAK (Status, Pengajuan dan Verifikasi)  dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih TAK</li> </ol>;;
22;Lihat status tak dimana?;Informasi mengenai TAK (Status, Pengajuan dan Verifikasi)  dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih TAK</li> </ol>;;
23;Bagaimana cara daftar eprt?;Informasi mengenai Tes Bahasa dan Pendaftaran Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> </ol>;;
24;Saya ingin mendaftar tes bahasa bagaimana ya caranya?;Informasi mengenai Tes Bahasa dan Pendaftaran Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> </ol>;;
25;Lihat nilai eprt dimana?;Informasi mengenai Skor Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Nilai Tes Bahasa</li> </ol>;;
26;Mau tau skor tes bahasa bagaimana caranya?;Informasi mengenai Skor Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Nilai Tes Bahasa</li> </ol>;;
27;Gimana cara input nilai tes bahasa dari luar ya?;Informasi mengenai Input Nilai Tes Bahasa dari Instansi Luar dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Input Nilai dari Instansi Luar</li> </ol>;;
28;Ingin input nilai tes dari luar telkom, gimana sih caranya?;Informasi mengenai Input Nilai Tes Bahasa dari Instansi Luar dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Input Nilai dari Instansi Luar</li> </ol>;;
29;Jurusan di telkom ada apa aja?;Informasi mengenai Program Studi dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/program-studi/'>Klik tautan ini</a>;;
30;Info prodi di fakultas teknik elektro liat dimana?;Informasi mengenai Program Studi dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/program-studi/'>Klik tautan ini</a>;;
31;Cara bayar bpp dimana liat nya?;Informasi mengenai Biaya Pendidikan dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/biaya-pendidikan/'>Klik tautan ini</a>;;
32;Mau bayar semesteran gimana sih caranya?;Informasi mengenai Biaya Pendidikan dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/biaya-pendidikan/'>Klik tautan ini</a>;;
33;Ingin mendaftar kelas internasional gimana caranya?;Informasi mengenai Kelas Internasional dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/kelas-internasional/'>Klik tautan ini</a>;;
34;Info kelas inter lihat dimana?;Informasi mengenai Kelas Internasional dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/kelas-internasional/'>Klik tautan ini</a>;;
35;Cara daftar jadi mahasiswa telkom gimana ya caranya?;Informasi mengenai Pendaftaran Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/petunjuk-pendaftaran/'>Klik tautan ini</a>;;
36;Bagaimana cara mendaftar menjadi mahasiswa baru telkom univesity?;Informasi mengenai Pendaftaran Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/petunjuk-pendaftaran/'>Klik tautan ini</a>;;
37;Mau ikutan seleksi jadi mahasiswa, lihat infonya dimana?;Informasi mengenai Seleksi Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/jalur-seleksi/'>Klik tautan ini</a>;;
38;Bagaimana cara mengikuti seleksi mahasiswa telkom?;Informasi mengenai Seleksi Mahasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/jalur-seleksi/'>Klik tautan ini</a>;;
39;Asrama telkom masih ada?;Informasi mengenai Asrama Telkom dapat kamu akses pada link berikut: <a target='_blank' href='https://dormitory.telkomuniversity.ac.id/'>Klik tautan ini</a>;;
40;Info dorm telkom lihat dimana?;Informasi mengenai Asrama Telkom dapat kamu akses pada link berikut: <a target='_blank' href='https://dormitory.telkomuniversity.ac.id/'>Klik tautan ini</a>;;
41;Ingin melihat virtual tour nya telkom dimana?;"Informasi mengenai Virtual Tour Telkom University dapat kamu akses pada link berikut: <a target='_blank' href='https://tour.telkomuniversity.ac.id/'>Klik tautan ini</a>""";;
42;Gimana cara liat virtual tour telkom?;"Informasi mengenai Virtual Tour Telkom University dapat kamu akses pada link berikut: <a target='_blank' href='https://tour.telkomuniversity.ac.id/'>Klik tautan ini</a>""";;
43;Berapa NIP Pak Faisal?;Informasi mengenai Dosen dapat kamu akses pada link berikut: <ol> <li>Data Dosen (Kode Dosen,Nama Dosen dan NIP Dosen) : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-pengajaran/#1634805123522-14d0d2ab-ef0b'>Klik tautan ini</a> > Kemudian pilih SK Pengajaran sesuai tahun dan jurusan yang diinginkan </li> <li>Dosen Wali : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-dosen-wali/ '>Klik tautan ini</a> </li> </ol>;;
44;Info dosen wali lihat dimana?;Informasi mengenai Dosen dapat kamu akses pada link berikut: <ol> <li>Data Dosen (Kode Dosen,Nama Dosen dan NIP Dosen) : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-pengajaran/#1634805123522-14d0d2ab-ef0b'>Klik tautan ini</a> > Kemudian pilih SK Pengajaran sesuai tahun dan jurusan yang diinginkan </li> <li>Dosen Wali : <a target='_blank' href='https://see.telkomuniversity.ac.id/sk-dosen-wali/ '>Klik tautan ini</a> </li> </ol>;;
45;Pengen daftar buat ujian susulan cara nya gimana ya?;Informasi mengenai Alur Pengajuan dan Jadwal Ujian Susulan dapat kamu akses pada link berikut: <a target='_blank' href='https://see.telkomuniversity.ac.id/pengumuman-2020/#1589609773094-f5306717-037d'>Klik tautan ini</a> ;;
46;Ujian susulan untuk matakuliah manpro kapan ya?;Informasi mengenai Alur Pengajuan dan Jadwal Ujian Susulan dapat kamu akses pada link berikut: <a target='_blank' href='https://see.telkomuniversity.ac.id/pengumuman-2020/#1589609773094-f5306717-037d'>Klik tautan ini</a> ;;
47;Rentang tanggal untuk kerja praktek semester ini;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Panduan Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
48;Cara mendapatkan surat izin kp;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Panduan Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
49;Format proposal ta untuk jurusan teknik telekomunikasi;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
50;Format buku ta dimana ya?;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
51;Jadwal sidang liat dimana?;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
52;Apa saja persyaratan sidang?;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
53;Bagaimana cara mendapatkan SK TA?;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
54;Cek status SK TA;Informasi mengenai Kerja Praktek dapat kamu akses pada link berikut: <ol> <li> Info Kerja Praktek : <a target='_blank' href='https://see.telkomuniversity.ac.id/kerja-praktek/'>Klik tautan ini</a> </li> <li>Surat Penjajakan Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> > Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Surat Penjajakan</li> <li> Surat Izin Kerja Praktek : <a target='_blank' href='https://kepokape.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun Kepo Kape > Pilih Kerja Praktek > Form Proposal</li> </ol>;;
